0,1,2,3,4,5,6,7,8,9,10
pastry,baking powder,,,,,,,,,
sausage,sausage,frozen fish,house keeping products,,,,,,,
ham,whole milk,,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
house keeping products,frozen vegetables,,,,,,,,,
chocolate,UHT-milk,sliced cheese,,,,,,,,
butter,yogurt,,,,,,,,,
rolls/buns,white wine,,,,,,,,,
chicken,whole milk,,,,,,,,,
specialty bar,soda,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,baking powder,,,,,,,,,
chocolate,canned beer,frozen fish,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
sausage,soda,,,,,,,,,
detergent,pet care,,,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
sausage,curd,meat spreads,,,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
dog food,chewing gum,coffee,,,,,,,,
whole milk,domestic eggs,bottled beer,bottled beer,,,,,,,
pork,coffee,margarine,,,,,,,,
root vegetables,sausage,hamburger meat,rum,house keeping products,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
bottled water,rolls/buns,popcorn,,,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
pastry,cereals,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
pork,frozen meals,,,,,,,,,
canned beer,canned beer,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
oil,bottled water,oil,,,,,,,,
berries,processed cheese,,,,,,,,,
soda,chewing gum,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
beverages,sausage,whole milk,citrus fruit,whole milk,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
pip fruit,bottled water,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
sausage,packaged fruit/vegetables,curd,fruit/vegetable juice,,,,,,,
root vegetables,yogurt,specialty bar,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
frozen vegetables,curd,rolls/buns,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pork,yogurt,,,,,,,,,
sausage,domestic eggs,frozen meals,,,,,,,,
whole milk,bottled water,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
sausage,dessert,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
specialty fat,condensed milk,,,,,,,,,
sausage,specialty fat,,,,,,,,,
onions,whole milk,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
chewing gum,pot plants,,,,,,,,,
whole milk,newspapers,whole milk,rolls/buns,,,,,,,
whole milk,long life bakery product,,,,,,,,,
pork,frozen meals,,,,,,,,,
tropical fruit,bottled water,semi-finished bread,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
ice cream,cream cheese ,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
cling film/bags,ham,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
sweet spreads,newspapers,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
chicken,berries,soda,,,,,,,,
soda,canned fish,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
pastry,soda,pastry,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
whole milk,pastry,,,,,,,,,
frankfurter,soda,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
waffles,other vegetables,,,,,,,,,
liquor,chicken,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
chicken,whisky,,,,,,,,,
photo/film,whole milk,shopping bags,,,,,,,,
grapes,napkins,,,,,,,,,
citrus fruit,soda,white bread,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
bottled beer,chocolate,,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
butter,whipped/sour cream,rolls/buns,,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
frozen meals,dessert,,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
whole milk,oil,,,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
chicken,canned beer,,,,,,,,,
root vegetables,grapes,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
yogurt,napkins,,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
shopping bags,soda,,,,,,,,,
pork,pastry,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
soda,spices,,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
soda,canned beer,,,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
bottled water,flour,,,,,,,,,
whole milk,sausage,pastry,spices,soda,,,,,,
hygiene articles,brown bread,,,,,,,,,
curd,newspapers,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
yogurt,bottled water,,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,butter,,,,,,,,,
tropical fruit,candy,,,,,,,,,
whole milk,ham,,,,,,,,,
meat,detergent,canned beer,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
chewing gum,cream cheese ,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
specialty bar,pastry,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,whole milk,specialty bar,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
pork,UHT-milk,rolls/buns,cleaner,newspapers,,,,,,
turkey,other vegetables,,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
meat,oil,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
coffee,whole milk,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
onions,UHT-milk,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
bottled water,bottled beer,brown bread,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
canned beer,brown bread,,,,,,,,,
curd,liquor (appetizer),,,,,,,,,
bottled beer,rolls/buns,herbs,UHT-milk,,,,,,,
berries,bottled beer,beef,whole milk,,,,,,,
pastry,curd,butter,curd,whipped/sour cream,,,,,,
rolls/buns,bottled beer,,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
frankfurter,curd,beef,whipped/sour cream,,,,,,,
turkey,bottled water,,,,,,,,,
pip fruit,skin care,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
bottled beer,root vegetables,pip fruit,other vegetables,dessert,rolls/buns,shopping bags,,,,
sausage,margarine,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
whole milk,flour,whole milk,margarine,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
curd,brown bread,,,,,,,,,
root vegetables,pastry,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
sausage,grapes,,,,,,,,,
cookware,cream cheese ,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
